param U := 10;
param demand := 500;

param : A :=
	1 30.1
	2 35.1
	3 49.9
	4 76.7
	5 4.1
	6 71.5
	7 87.5
	8 45.8
	9 76.4
	10 61.1;

param : B :=
	1 0.11
	2 0.51
	3 0.78
	4 1.00
	5 0.28
	6 0.61
	7 0.19
	8 0.92
	9 0.82
	10 0.44;

param : C :=
	1 0.016
	2 0.044
	3 0.050
	4 0.036
	5 0.076
	6 0.083
	7 0.097
	8 0.086
	9 0.040
	10 0.017;

param : Pmin :=
	1 14.24
	2 7.00
	3 33.62
	4 44.76
	5 12.64
	6 11.32
	7 32.12
	8 49.04
	9 16.38
	10 47.16;

param : Pmax :=
	1 356.00
	2 175.00
	3 840.50
	4 1119.00
	5 316.00
	6 283.00
	7 803.00
	8 1226.00
	9 409.50
	10 1179.00;

end;
