param U := 10;
param demand := 100;

param : A :=
	1 4.4
	2 16.5
	3 45.2
	4 12.8
	5 50.1
	6 3.1
	7 69.8
	8 9.7
	9 80.9
	10 56.0;

param : B :=
	1 0.63
	2 0.13
	3 0.59
	4 0.24
	5 0.92
	6 0.18
	7 0.28
	8 0.87
	9 0.45
	10 0.38;

param : C :=
	1 0.095
	2 0.085
	3 0.080
	4 0.047
	5 0.040
	6 0.012
	7 0.024
	8 0.030
	9 0.092
	10 0.090;

param : Pmin :=
	1 7.60
	2 8.40
	3 6.34
	4 3.18
	5 4.32
	6 5.82
	7 8.64
	8 8.74
	9 6.54
	10 3.38;

param : Pmax :=
	1 38.00
	2 42.00
	3 31.70
	4 15.90
	5 21.60
	6 29.10
	7 43.20
	8 43.70
	9 32.70
	10 16.90;

end;
