param U := 15;
param demand := 300;

param : A :=
	1 70.4
	2 95.3
	3 83.6
	4 52.3
	5 53.7
	6 5.3
	7 67.8
	8 52.9
	9 7.6
	10 27.8
	11 37.5
	12 25.1
	13 75.2
	14 43.6
	15 64.3;

param : B :=
	1 1.00
	2 0.18
	3 0.46
	4 0.45
	5 0.31
	6 0.29
	7 0.16
	8 0.84
	9 0.81
	10 0.19
	11 0.33
	12 0.83
	13 0.35
	14 0.72
	15 0.31;

param : C :=
	1 0.040
	2 0.042
	3 0.073
	4 0.080
	5 0.033
	6 0.034
	7 0.026
	8 0.065
	9 0.078
	10 0.046
	11 0.090
	12 0.063
	13 0.024
	14 0.039
	15 0.052;

param : Pmin :=
	1 4.26
	2 13.44
	3 13.10
	4 7.90
	5 5.12
	6 15.84
	7 17.86
	8 3.52
	9 4.52
	10 6.46
	11 16.34
	12 9.48
	13 2.76
	14 6.78
	15 13.18;

param : Pmax :=
	1 42.60
	2 134.40
	3 131.00
	4 79.00
	5 51.20
	6 158.40
	7 178.60
	8 35.20
	9 45.20
	10 64.60
	11 163.40
	12 94.80
	13 27.60
	14 67.80
	15 131.80;

end;
